conversation_id_str,created_at,tweet
1.89E+18,Tue Feb 25 12:49:43 +0000 2025,alhamdulillah terhindar dari daftar spaylater karena tolol shopee gabisa login akun malah disuruh beli nomer baru njir jelek banget csnya
1.89E+18,Sun Feb 23 13:59:03 +0000 2025,Shopee sudah menemukan solusinya dgn spaylater
1.39E+18,Sat May 01 21:48:11 +0000 2021,@khansaneira Masih belanja di Shopee krn gak ribet pembayarannya. Cukup di app itu sendiri ada Shopeepay dan SPaylater. Tokped ngeselin harus punya OVO dulu baru kerasa dapet promo. Gak praktis lah musti 2 aplikasi
1.89E+18,Sun Feb 23 05:22:45 +0000 2025,kalo checkout barang di shopee pake spaylater gitu apakah harus diubah ke cicilan ya? kalo misalkan aku plh spaylater terus nanti aku bayar fullpay bisa gak ya? pengen aktifin cm buat ngejar diskonan karena lumayan banget tapi gamau bayar nyicil
1.89E+18,Thu Feb 20 16:10:07 +0000 2025,Mau cerita tentang deh segimana aku berusaha lunasin perpinjolan shopee Sempet gagal bayar 7 bulan.. sengaja gak bayar soalnya nabung dulu tapi 3 hari yg lalu tbtb ada chat masuk dari program keringanan #Shopee https://t.co/3abwbgarwX
1.89E+18,Thu Feb 20 15:55:12 +0000 2025,pls jangan tergiur guys asli ini scammer. toko shopee kalian itu make data kalian ya takutnya dipake buat cairin paylater!! feenya beneran kok dikasih diawal tp abis itu kalian nanti dikejar2 tagihan pinjolnya yg pasti2 aja guys kalo lagi BU jgn tergiur ginian!!!
1.89E+18,Tue Feb 25 12:52:41 +0000 2025,@Thetklvdys @zril_not_zriel Intinya gini Misal kamu ke point coffee besok pagi pake metode pembayaran spay nah besoknya lagi mau nyoba ya udh gabisa soalnya slot shopeepay mu udah kepakek. Jd sisa pakek metode pembayaran spaylater (kalo memang aktivasi) gitu Intinya tiap merchant orang punya 1/2 slot
1.53E+18,Sun Dec 15 23:32:01 +0000 2024,Halo saya mau komplen mengenai GOPAY LATER @gojekindonesia @gopayindonesia karena selama penggunaan gopay later skor saya bagus dan gapernah telat bayar (Anda bisa cek dari history selama penggunaan juga bisa kan?) tpi gopaylater saya di blokir cuma gara2 telat 1 hari krn LUPA
1.89E+18,Wed Mar 05 12:07:50 +0000 2025,Mau tanya ada yg gopaylater nya gabisa dipake ga ya? Pas mau co ga ada opsi gopaylater itu kira2 nunggu brp lama ya biar opsi co nya ada lagi?
1.89E+18,Wed Apr 07 00:23:19 +0000 2021,@subtanyarl Nda semua org yg pake paylater itu brarti suka ngutang dan nda ada uang trus me-maksakan. Spaylater adlh fitur pertama macam ini yg aku pake selama aku belanja2. Dan aku pake ini biasanya untuk beli barang murah2 dan ngejar gratong min.0 plus kau nda ada saldo shopee- https://t.co/l7JKbfUtIu
1.38E+18,Sat Feb 05 02:00:01 +0000 2022,#BeliSekarangBayarNanti emang bisa? Bisa dong! #YokPakaiSPayLater Nikmati Gratis Ongkir Rp0 &amp; khusus pengguna baru kamu bisa nikmati Bebas Bunga! Cek https://t.co/e3eoG5YWza SPayLater oleh PT Commerce Finance telah terdaftar dan diawasi oleh Otoritas Jasa Keuangan (OJK) https://t.co/hAHWXkSRUi
1.49E+18,Fri Feb 28 03:30:27 +0000 2025,Beli eSIM di MySmartfren dengan Shopeepaylater dapatkan cashback hingga 10 ribu! (syarat &amp; ketentuan berlaku). Info selengkapnya : https://t.co/aIwrajMksn #sayapakedua #esimsmartfren https://t.co/9GS7R7ed7U
1.89E+18,Thu Feb 03 01:55:00 +0000 2022,Belanja pakai SPayLater #BeliSekarangBayarNanti! Ada Gratis Ongkir Rp0 &amp; khusus buat pengguna baru kamu bisa dapetin Bebas Bunga! Cek: https://t.co/e3eoG6gxXK #YokPakaiSPayLater SPayLater oleh PT Commerce Finance telah terdaftar dan diawasi oleh Otoritas Jasa Keuangan (OJK). https://t.co/7CIupAez16
1.58E+18,Wed Oct 25 14:34:25 +0000 2023,#intinyadeh ditipu sama temennya yg team leader Shopee Jogja. Disuruh beli barang bayar pake Spaylater. Barangnya dikirim ke alamat lain. Tenor 12 bln. Nanti katanya tagihannya bakal dihapus dr sistem. Nyatanya gabisa. Udh 3 bulan berjalan. Mana malah minta duit lg.
1.53E+18,Mon Feb 24 02:00:01 +0000 2025,Relate banget sihh... Tapi tenang aja ga perlu khawatir! Soalnya belanja bisa bayar pakai SPayLater! Beli Sekarang Bayar Nanti Transaksi di Merchant QRIS dan Online BUNGA 0% BAYAR BULAN DEPAN! Yuk aktivasi sekarang! https://t.co/6SAOk2LOP4 #SPayLater #PromoSPayLater https://t.co/1Wwc42PrPG
1.89E+18,Thu Feb 20 12:24:50 +0000 2025,shopeepaylater nih makin ke sini makin pelit ngasih diskon
1.84E+18,Thu Feb 20 11:51:48 +0000 2025,gini banget paket shopeepaylater https://t.co/3fR244Xo08
1.90E+18,Thu Feb 20 11:45:56 +0000 2025,"Biaya layanan Shopee 1.900 wtf 😤 Padahal cuma coba-coba pakai SPayLater. Hati-hati ya, kadang tanpa sadar ada biaya tambahan yang muncul pas checkout!"
1.49E+18,Thu Feb 20 08:08:22 +0000 2025,Otw beli motor pake spaylater ‍↕️ https://t.co/iPElVUfx4Z
1.72E+18,Thu Feb 27 04:18:46 +0000 2025,Semalam ada customer beli barang guna SpayLater im like whatttttt ..rupanya kedai yg terima ShopeePay pun bole guna SpayLater
1.39E+18,Sun Feb 23 14:13:43 +0000 2025,@cakecaineess Setau aku shopee food gak bisa pake spaylater kak. Semiaal bisa kamu gak perlu bayar lagi ketika udh sampe makanannya
1.89E+18,Thu Feb 27 07:29:02 +0000 2025,"Dari sisi hukumnya, sebenarnya boleh saja karena SPayLater dari Shopee sudah mendapatkan sertifikat kepatuhan syariah dari Amanie Advisors. Semoga info ini membantu"
1.89E+18,Mon Feb 24 03:36:52 +0000 2025,Mesti cobain bayar pake SPayLater buat co Shopee atau bayar QRIS sekarang bunga 0%. Pilih yang sebulan aja kak biar cicilan 0% https://t.co/lDjLmBCxwa
1.89E+18,Tue Feb 25 05:10:28 +0000 2025,kalian bayar pake SPayLater bunga 0% gaaa yang bayar bulan depan??? mantap nih bisa pake buat bayar QRIS co Shopee atau metode pembayaran yg lain fess https://t.co/oonOTj9sDx
1.89E+18,Thu Sep 09 03:12:29 +0000 2021,"Katanya banyak penjual pakai SPayLater buat muter modal usaha. Terus Shopee juga keluarin Quick Funds, makin banyak jebakannya. Yang jelas dua-duanya nggak sesuai syariah"
1.89E+18,Sun Dec 01 11:34:53 +0000 2024,Gila Shopee. Demi user mau ngaktifin SpayLater sampe rela bakar duit. Ini kalo payment pake SpayLater bakal dapet diskon 15k. Emang yg begini boleh ya? Dosa ga sih? https://t.co/K3zNrUKPv7
1.89E+18,Fri Feb 28 14:21:15 +0000 2025,gopaylater error kahh?? dri kmrin gini terus tolong dongg lagi urgent gini @gopayindonesia https://t.co/9jOxjPH8n5
1.89E+18,Wed Oct 09 01:47:24 +0000 2024,diskon gopaylater tuh menggoda bgt deh
1.89E+18,Sun Feb 23 02:18:27 +0000 2025,"Layanan CS @gopayindonesia @gojekindonesia mengecewakan banget, responnya lama. Udah gitu akun GoPayLater saya diblokir padahal nggak pernah telat bayar sama sekali."
1.89E+18,Tue Aug 17 09:02:34 +0000 2021,VIRALKAN! Kini GoPayLater bisa kamu gunakan di Tokopedia buat jajan hobi makan dimsum jajan fashion dan apa saja yang kamu mau. Muantaappp kan! https://t.co/cnYHhw1Kot Sambungkan akun GoPaylater sekarang nikmati promonya spesial #Tokopedia12Tahun #GoPayLaterDiTokopedia https://t.co/8tojPI9lgd
1.83E+18,Thu Feb 27 18:25:51 +0000 2025,guys demi apa gopaylater error..... dr kmrn... ini duit gw disitu semua.. ajg jadi miskin gw.......
1.58E+18,Sun Nov 03 23:31:07 +0000 2024,"SPayLater di Shopee mengenakan biaya pemrosesan sebesar 1.5% dari total tagihan saat melakukan pembayaran. Meskipun tersedia cicilan dengan bunga 0% hingga 6 bulan, penting untuk memperhatikan detail biaya tambahan agar penggunaan tetap sesuai kebutuhan."
1.90E+18,Fri Feb 21 02:00:00 +0000 2025,bisa aja nih kang sulap~ Nah Sobat Shopee! Mau belanja pakai SPayLater aja! Beli Sekarang Bayar Nanti Transaksi di Merchant QRIS dan Online BUNGA 0% BAYAR BULAN DEPAN! Mantep kan? Yuk aktivasi sekarang di sini https://t.co/6SAOk2LOP4 #SPayLater #PromoSPayLater https://t.co/ok2WvhgxA9
1.89E+18,Mon Feb 24 05:03:27 +0000 2025,Kemarin co Shopee sama bayar QRIS pake SPayLater bunga 0% nih kalau bayar pake pilihan yang 1 Bulan. https://t.co/7ZP70xUsFD
1.89E+18,Wed Nov 07 05:50:15 +0000 2024,"Guys aku ketipu pembayaran tagihan Shopee paylater sebesar 115 ribu dia ngancem aku terus katanya kalau gak dibayar-bayar bakal dilaporin ke kantor polisi jadi aku mau gak mau harus bayar tagihan sebesar 115 ribu, ini gimana ya guys tolong banget bantuan ya"
1.44E+18,Mon Mar 31 21:06:13 +0000 2025,"kenapa sih shopeepaylater aku dibatasin? bayar selalu tepat waktu dan gapernah aneh2, heran deh @ShopeeID @ShopeePay_ID ini gabisa dipake lg apa gmn sih?"
1.40E+18,Wed Mar 5 21:06:13 +0000 2025,Ada yang kerja di shopee? Atau ngerti gak masalah spaylater. Aku punya toko udh lumayan jalan di shopee tapi fitur paylater untuk konsumen tiba tiba di nonaktifkan padahal perform toko bagus. Kenapa ya @ShopeeID @ShopeeCare @ShopeePay_ID #shopeeindonesia #shopeepaylater
1.89E+18,Mon April 21 21:06:13 +0000 2025,"rek! ada yang pernah pakai shopeepaylater? itu sistemnya kaya gimana sih? (btw aku cuma mau tau guys, aku udah tau resikonya kok)"
1.86E+18,Mon Dec 16 01:42:33 +0000 2024,"Ada yang pernah gini ga? Shopeepaylater dipake orang ga dikenal buat bayar tagihan listrik. Padahal ga ada klik link, telpon, pesan atau dihubungi apapun. Kebetulan lagi buka shopee lihat ada notifikasi tagihan listrik, untung keliatan."
1.49E+18,Wed Jan 22 08:26:07 +0000 2025,"aku lupa batalin trial picsart di hp, otomatis payment ke shopee dan paymentnya ke shopeepaylater, ini bisa di cancel gak sih guys mau nangis sumpah mana picsart setahun"
1.89E+18,Wed Sep 18 17:56:01 +0000 2024,"Aaa gue kayanya harus beli dispenser, beli kipas juga. Cape banget pake ginian, seringnya susah dibukanya. Banyak banget hey yg harus gue beli, kata anak gue kalo blm ada uangnya pake shopeepaylater aja"
1.53E+18,Sun Feb 2 12:33:41 +0000 2025,Pamer alhamdulillah yaAllah gapapa ngutang pake shopeepaylater yang penting dibayar dan ga nunggak. Makasih pi
1.90E+18,Tue Oct 5 12:33:41 +0000 2024,"kalian harus mikir dua kali kalo mau pake shopeepaylater atau kalo mau invest emas di shopee 😋 karena kalo tiba tiba akun kalian diblokir sama shopee, apa kabar itu semua? gimana ni  @ShopeeID @ShopeeCare"
1.85E+18,Sat Feb 1 12:33:41 +0000 2025,"Up. Barusan, pagi ini saya kena juga, ShopeePayLater teraktivasi sendiri. Tanpa verifikasi apapun. Saya juga taunya dari notifikasi. Sebelumnya tidak pernah aktivasi PayLater apapun sama sekali, tiba-tiba aktif, shock. Tolong segera cek dm @ShopeeCare gawat bgt  @ojkindonesia"
1.83E+18,Thu Oct 24 12:33:41 +0000 2024,kenapa godaan shopeepaylater tuh menggoda banget sih? naik mulu limitnya
1.83E+18,Thu Oct 24 12:33:41 +0000 2024,Emang ini warga2 menengah ke bawah dengan pendapatan pas2an tapi jiwa menengah ke atas kadang bikin heran. Kekeuh beli iPhone 16 via jastip tapi requestnya ditaro shopee biar bisa shopeepaylater karena kalo cash langsung belom punya uang segitu.
1.89E+18,Fri Apr 25 12:33:41 +0000 2025,"Kenapa limit ShopeePayLater aku stuck di sekitar 4200, ya? Kesal banget. Apa karena aku setiap belanja langsung bayar, jadi limitnya nggak naik-naik? Males ah, pakai terus tapi limitnya tetap segitu. Belanja kayak orang gila pun limitnya tetap saja di situ. Kesal!"
1.43E+18,Tue Feb 25 12:33:41 +0000 2025,"Shopee bikin masalah, sudah beberapa kali verifikasi gagal. Padahal sudah upload foto KTP dan foto wajah, tapi sekarang malah nggak bisa pakai ShopeePay, meskipun masih bisa pakai ShopeePayLater."
1.90E+18,Fri Apr 25 12:33:41 +0000 2025,"Iya, aku sampai beli TV pakai ShopeePayLater. Sekarang malah di-freeze, padahal selalu bayar tepat waktu. Limitnya nggak naik juga, aku jadi kesal, sekarang setiap belanja langsung bayar full totalnya."
1.84E+18,Thu Apr 24 2:33:41 +0000 2025,"Halo @TokopediaCare @tokopedia tanggal 28/02/25 transaksi pembelian token listrik 1 jt sebanyak 2 x tidak berhasil,keterangannya dana sudah dikembalikan,tetapi kenapa masih ada tagihan gopaylater pada tanggal tersebut?"
1.85E+18,Sun Apr 20 2:33:41 +0000 2025,"banyak kelas menengah yang ga punya duit nyambung hidup dengan mesen makan pakai gopaylater/ traveloka paylater/ shopee paylater dan harus pesan di platform ya secara teori ga dibenarkan, tapi ya faktanya ada, bahkan banyak.lo bahkan sama kelas menengah aja ga relate"
1.89E+18,Wed Apr 23 2:33:41 +0000 2025,kenapa sih promonya kalo pake gopaylater doang
1.89E+18,Sat Feb 1 2:33:41 +0000 2025,braw! kalau telat bayar gopaylater konsekuensinya apa ya? ada yg tau ga?
1.53E+18,Mon Feb 17 2:33:41 +0000 2025,Kesel banget gopaylater diblokir padahal gue mau beli makan fuck lah woi kalau ga ada duit gini
1.89E+18,Wed Apr 2 2:33:41 +0000 2025,gopaylater denda nya assalamualaikum bjir 😭 bisa di non aktifin g sie? dulu kepake cuma mau klaim diskon
1.89E+18,Sat Feb 1 2:33:41 +0000 2025,"Gopaylater ngasih potongan gila2an, rugi tak? Belanja hokben 85 ribu, diskon 56 ribu. Cuma bayar 29 rb. Asyik jg ya. Ya udh aktifin aja gaassss🤑😂"
1.90E+18,Tue Mar 25 05:22:45 +0000 2025,"Dear @gojekindonesia info dong, gmn caranya nutup gopaylater. terima kasih"
1.90E+18,Thu Apr 18 16:33:05 +0000 2025,"sy udh g pnh pake gojek krn dl pnh pake gopaylater, masuk di hari jatuh tempo dikirim pesan dengan kalimat panjang & sgt kasar, pdhl sy g terlambat bayar, lsg delete account pdhl tagihan cmn 70rb"
1.49E+18,Tue Mar 3 05:22:45 +0000 2025,Klo gopaylater ayam gulai trlalu over ga si😭😭
1.58E+18,Sat Feb 20 2:33:41 +0000 2025,ini gopaylater gue tolol apa gimana jing
1.72E+18,Sat Feb 27 2:33:41 +0000 2025,"gopaylater bisa dinonaktifkan ga ya guys? aku pgn aktifin, tapi takutt suatu saat kena hack kek orang-orang hhu "
1.86E+18,Wed Feb 11 2:33:41 +0000 2025,Gopaylater gue belum aktif juga njir ntar balik kerja minggu ini mana kudu gojek karna ga ada busway hadeh
1.39E+18,Tue Apr 11 2:33:41 +0000 2025,Laper oii ini gopaylater kapan aktif njir
1.89E+18,Thu Mar 5 05:22:45 +0000 2025,gopaylater dipake penipu sampe 20jt 😇
1.44E+18,Wed Apr 7 2:33:41 +0000 2025,"coba deh pake paylater legal, ku pernah pake gopaylater beli 60rb tp karena pake gpl jadi 8rb doang, buldepnya ku lupa kalau ada tagihan, H-1 ada chat ""tagihan anda sebesar 8rb jatuh tempo.."" lah dalem hati ku ""anj 8rb di tagih""🤣🤣"
1.89E+18,Thu  Mar 5  05:22:45 +0000 2025,"Mau tanya ada yg gopaylater nya gabisa dipake ga ya? Pas mau co ga ada opsi gopaylater, itu kira2 nunggu brp lama ya biar opsi co nya ada lagi?"
1.83E+18,Sun Feb 15 2:33:41 +0000 2025,"Hahaha gw pernah diprank gini juga. Buka oleh Driver tapi oleh Aplikasi  Gojek nya. Sampai hari ini ga kelar kelar. Ditagih Gopaylater melulu dari 1,8juta sampai sekarang jadi hampir 3 juta. Lagi hujan nunggu Gocar eh Gopaylaternya dibekukan tanpa alasan. Udah puluhan kali protes ke CS, ke Sosmed. Sampai hari ini cuma ketemu SMS dan Email tagihan. Sepertinya di @gopayindonesia ga ada manusia nya, cuma pegawai ghoib?"
1.85E+18,Thu Apr 19 2:33:41 +0000 2025,"Dulu jaman masih kuliah gak punya duit, nekad pake gopaylater cuma biar ttp bisa makan, alhasil gajian pertama full cuma buat byr paylater yg udh nunggak. Hahaha Jadi ya, gak semua org yg pakai grab/gojek utk layanan pesan antarnya berduit."
1.83E+18,Sun Mar 1 2:33:41 +0000 2025,"Gopaylater... Gopaylater...  Rajin banget gunta  ganti pihak ke 3, ada telmark indo ada pap."
1.25E+18,Thu Jan 24 2:33:41 +0000 2025,Halo  @ojkindonesia @gojekindonesiaini gimana prosesnya. Fraud nih. Menambahkan denda karena kesalahan sistem sendiri di GoPayLater.
6.71E+17,Thu Feb 14 2:33:41 +0000 2025,"ni ga ada yg mau ngasi gw duit apa ya, bingung banget mau bayar gopaylater pake apaan"
9.12E+16,Thu Aug 17 2:33:41 +0000 2021,"Kini GoPayLater bisa kamu gunakan di Tokopedia buat jajan hobi, makan dimsum, jajan fashion dan apa saja yang kamu mau. Muantaappp kan! https://tokopedia.link/gopaylater"
4.89E+17,Sun Sep 4 2:33:41 +0000 2025,"tanyarl wah gila ya gopaylater dendanya, waktu itu beli makanan pake promo pembayaran itu, dan sekarang lupa blm bayar dendanya udah segini. kenapa pas makanan dateng ngga bisa langsung dibayar sii kan jadi lupa"
1.07E+18,Mon Sep 15 2:33:41 +0000 2023,kaget woy skrg gopaylater pakai persenan ya biayanya? Ini klo garap promo mcd bayar 35k kena brp woy?? Mana limit 10 juta 😭😭
1.65E+18,Sat Sep 25 2:33:41 +0000 2021,"Emg udah waktunya pake #GoPayLater, diawasi OJK jg & terbukti aman! Nih caranya biar cepet diapprov pas regis, sesuai aturan @gopayindonesia bisa buat kalian jg yg masih bingung. #BarengGoPayLater"
2.23E+18,Wed Dec 19 2:33:41 +0000 2024,"Kelakuan dc gopaylater setelah dilaporkan ke OJK, padahal  saya udh nyicil 700rb diblg 100rb, sok sok an nyumpahin padahal kelakuan dcnya juga kek dajjal  @gopayindonesia @mrtweepsID @gojekindonesia @ojkindonesia"
2.81E+18,Tue Dec 5 2:33:41 +0000 2024,Lagi-lagi dapat kenaikan limit Gopaylater 😅
3.39E+18,Thu Dec 23 2:33:41 +0000 2024,"Alhamdulillah gopaylater yg paling gede ini dr 15 jt finally lunas, spinjam dr 6jt finally aku lunasin hari iniiii. makasiih ya Allaaah tbtb banget gebrakanya hari ini, makasih rezekinya ya Allaah 😭😭❤️ Allah maha baiiiik banget masya allah 😭🥹"
3.97E+18,Sun Dec 26 2:33:41 +0000 2024,"temen ngomel katanya gopaylater nambah 50k telat.ya bayangin aja reset tanggal 15 desember, due datenya baru 1 februari, wajar sehari telat kena 50k. makanya pas transisi ke FAB persyaratan dibaca dulu, klo udah biasa bayar jauh sebelum due date ya gabakal masalah seharusnya."
4.55E+18,Fri Nov 2 2:33:41 +0000 2023,"waktu itu sender pake gopaylater karena ada promo, terus kemaren lupa bayar, pas mau dibayar sekarang kok denda nya 50k? baru tau banget ga ngasih tau dari awal😭 kaget bgt jujur tagihan cuma 25k tapi denda nya 50k😭"
5.13E+18,Mon Dec 4 2:33:41 +0000 2024,emg knp kalo order makanan sm minuman pake gopaylater hahhh? anying lagian lebih murah biaya paylaternya drpd top up nya bangke apalagi kl mau order kopi doang asyu lah
5.71E+18,Thu Feb 2 2:33:41 +0000 2021,"Kalo ada urusan yg mengharuskan aku keluar rumah, aku pasti naik @gojekindonesia krn protokol J3Knya oke bgt. Udah gitu opsi contactless payment nya banyak lagi, ada GoPay, Paylater, dan CC/DC. Jadi ngerasa makin aman & praktis deh! #ItsOkayToBeLebay kan demi keamanan bersama :D"
6.29E+18,Mon Dec 21 2:33:41 +0000 2024,"ada diskon nyantol tp tiktok paylater, satunya lagi bibli paylater, bye bye deh dah cukup gw sama spaylater sm gopaylater"
6.87E+18,Mon Sep 3 2:33:41 +0000 2024,"gua pake payment paylater karena emang syarat buat pake vouchernya harus pake payment paylater. protes ke appnya lah kl emang salah buat beli makanan pake paylater, kenapa nyediain voc dengan syarat gitu? potongannya tuh sampe setengah harga, buat mahasiswa kyk gua ya worth bgt"
7.45E+18,Tue Dec 20 2:33:41 +0000 2024,bahkan mereka udah staycation dan  bayar tiket hotelnya pake paylater gopay bangsaattttt!!! 😭😭😭
8.03E+18,Thu Dec 5 2:33:41 +0000 2024,daerah tangerang ada yg pernah telat bayar atau gagal bayar gopaylater ga yaa? kalo ada sharing please🙏🏻 #gopaylater #telat bayar #gagal bayar #gpl
8.61E+18,Thu Dec 5 12:50:41 +0000 2024,"guys kalo mau ajak aku main ke tempat yg murah aja ya, duit aku abis buat bayar gopaylater soalny"
9.19E+18,Mon Dec 19 2:33:41 +0000 2024,ni gopaylater ak blm pernah dipake kenapa di block sih @gopayindonesia?????
9.77E+18,Sun Dec 28 2:33:41 +0000 2024,akhirnya tau gimana cara nonaktifin spaylater 😇 skrg tinggal gopaylater nih semoga bisa nonaktif juga 😇😇
1.03E+19,Wed Dec 14 2:33:41 +0000 2024,"Gopaylater,shopeepay later itu bunganya telat sehari 50k. Pernah denger org bilang mending bikin kartu kredit daripada harus paylater gini"
1.09E+19,Tue Oct 20 2:33:41 +0000 2024,"baru aktivin sPaylater, menurutku gpp nyicil asal tau batas kemampuan, yang bahaya kalo berani ambil cicilan apalagi yg besar tapi ga siap buat bayar. Btw aku pake spaylater buat nyari promo aja"
1.15E+19,Sun Dec 13 2:33:41 +0000 2024,"Pengen sedikit cerita soal Gopay-Pinjam Niatnya mau ""pinjol"" gojek 500rb buat benerin laptop, gue mikir, ""ah kecil ini bunganya"" Pas udah tanda tangan kontrak, malah sistem bikin jd 9jt jir loan nya, hati"" buat pinjol meskipun dr app yang udah trusted gais (shope , gojek , dkk)"
1.21E+19,Mon Dec 14 2:33:41 +0000 2024,"Dulu gw jg suka make gopaylater pas limit masi 250rb. Ditawarin terus buat naik limit dari app nya, tp selalu gw tolak. Gada angin gada hujan tetiba limit gw naik jd 5jt💀 Ga dikasih notif apa pula, untungnya gw notice sendiri limit naikAkhirnya ga pernah lg gw pake paylater nya"
